Call ID,Symbol,Call Time,Peak Multiple,Normal Status,Stoploss Status,Stop Hit
81,?,2026-08-13T05:37,8.8959x,win,loss,True
9,HIMS,2026-04-18T03:44,8.2404x,win,win,False
22,BLUECHIP,2026-05-13T04:57,8.1432x,win,win,False
7,?,2026-04-16T02:25,8.0263x,win,win,False
86,?,2026-08-29T02:55,7.0737x,win,win,False
76,ABTC,2026-08-09T23:40,6.0999x,win,loss,False
11,FISHHEAD,2026-04-30T21:37,5.9554x,win,win,False
10,?,2026-04-27T23:06,5.6526x,win,loss,True
54,?,2026-07-07T06:28,5.0613x,win,win,False
30,?,2026-05-22T23:03,4.6058x,win,win,False
82,?,2026-08-15T16:20,4.4292x,win,loss,False
87,?,2026-08-29T04:11,4.0544x,win,win,False
73,PUMPGUY,2026-08-09T03:06,4.0383x,win,win,False
60,BET,2026-07-19T20:43,3.8494x,win,loss,True
23,USDC,2026-05-13T22:05,3.6142x,win,win,False
77,?,2026-08-10T19:46,3.0157x,win,win,False
80,MIM,2026-08-13T02:56,2.7518x,win,win,False
55,?,2026-07-09T05:03,2.6291x,win,win,False
26,?,2026-05-19T19:18,2.4696x,win,win,False
68,?,2026-08-01T19:15,2.2950x,win,win,False
13,?,2026-05-02T05:42,2.2924x,win,loss,False
74,?,2026-08-09T07:31,2.1834x,win,win,False
58,BCAT,2026-07-13T05:34,2.1698x,win,loss,True
15,SCHIZO,2026-05-06T21:19,2.1632x,win,win,False
69,WIGLET,2026-08-04T05:53,2.1580x,win,loss,False
47,?,2026-06-19T06:12,2.1537x,win,loss,False
21,?,2026-05-12T23:59,2.1535x,win,loss,True
67,?,2026-08-01T06:10,2.1518x,win,win,False
46,?,2026-06-17T01:38,2.1108x,win,win,False
71,HORSE,2026-08-04T23:47,2.1025x,win,loss,False
14,?,2026-05-06T18:38,2.0864x,win,loss,False
25,?,2026-05-16T04:03,2.0243x,win,win,False
41,?,2026-06-07T19:34,2.0201x,win,loss,False
85,?,2026-08-27T07:50,2.0133x,win,win,False
75,AVATAR,2026-08-09T23:03,1.9296x,loss,loss,False
33,?,2026-05-29T22:46,1.8671x,loss,loss,False
49,?,2026-06-23T05:20,1.8462x,loss,loss,True
31,?,2026-05-27T00:05,1.7942x,loss,loss,True
65,PIBBLE,2026-07-31T20:12,1.7934x,loss,loss,True
70,?,2026-08-04T19:42,1.7682x,loss,loss,True
8,BELKA,2026-04-16T03:54,1.7561x,loss,loss,True
83,?,2026-08-16T03:49,1.7088x,loss,loss,True
35,?,2026-05-31T20:47,1.6955x,loss,loss,False
61,?,2026-07-26T23:27,1.6807x,loss,loss,False
2,?,2026-04-02T03:47,1.6463x,loss,loss,True
29,?,2026-05-22T19:05,1.6191x,loss,loss,True
63,GNOMES,2026-07-28T20:07,1.6095x,loss,loss,True
62,?,2026-07-27T16:43,1.6024x,loss,loss,False
5,CARROTJAK,2026-04-12T22:06,1.5618x,loss,loss,False
37,?,2026-06-02T18:42,1.5572x,loss,loss,False
88,?,2026-08-30T18:58,1.5228x,loss,loss,True
56,SPAZ,2026-07-10T02:32,1.4839x,loss,loss,False
3,TIGER,2026-04-02T21:51,1.4786x,loss,loss,True
50,?,2026-06-23T19:47,1.4688x,loss,loss,True
72,?,2026-08-05T01:14,1.4652x,loss,loss,True
79,TOAD,2026-08-11T21:50,1.4449x,loss,loss,False
45,TREMP,2026-06-15T01:41,1.4240x,loss,loss,True
51,?,2026-07-01T02:24,1.4082x,loss,loss,False
52,?,2026-07-03T21:58,1.4036x,loss,loss,False
59,UDIN,2026-07-17T19:48,1.3982x,loss,loss,False
6,?,2026-04-13T19:14,1.3965x,loss,loss,False
39,DATBIHGAH,2026-06-04T19:20,1.3834x,loss,loss,False
38,?,2026-06-03T18:27,1.3479x,loss,loss,True
43,?,2026-06-09T22:04,1.3449x,loss,loss,True
42,KUMAR,2026-06-09T21:14,1.3406x,loss,loss,False
34,HENNY,2026-05-30T20:35,1.3403x,loss,loss,False
19,?,2026-05-11T18:59,1.3398x,loss,loss,True
1,HYRAX,2026-04-01T20:45,1.3393x,loss,loss,True
16,?,2026-05-08T01:51,1.3327x,loss,loss,True
27,HOG,2026-05-20T01:50,1.3122x,loss,loss,False
48,ANSEM,2026-06-21T04:13,1.2932x,loss,loss,False
64,PANAMA,2026-07-30T03:37,1.2929x,loss,loss,True
66,UPDOG,2026-07-31T23:45,1.2657x,loss,loss,True
17,WISH,2026-05-08T03:14,1.2646x,loss,loss,False
40,SPACES,2026-06-05T07:17,1.2585x,loss,loss,True
57,MENSA,2026-07-12T22:42,1.2510x,loss,loss,False
32,FOID,2026-05-29T03:44,1.2455x,loss,loss,False
12,?,2026-05-01T20:12,1.2416x,loss,loss,False
24,?,2026-05-15T06:53,1.2406x,loss,loss,True
53,FOMO,2026-07-06T22:36,1.2271x,loss,loss,False
4,?,2026-04-11T01:10,1.1632x,loss,loss,False
36,AERODYNAMI,2026-06-01T23:55,1.1537x,loss,loss,True
28,FBAI,2026-05-21T00:05,1.1512x,loss,loss,True
20,?,2026-05-12T22:47,1.1437x,loss,loss,True
84,?,2026-08-20T04:39,1.1084x,loss,loss,False
18,?,2026-05-10T21:26,1.0463x,loss,loss,False
44,?,2026-06-12T04:17,1.0000x,loss,loss,False
