ID,Symbol,Call Time,Peak Multiple,Status
80,MIM,2026-08-13T02:56,8.8959x,WIN
8,BELKA,2026-04-16T03:54,8.2404x,WIN
21,?,2026-05-12T23:59,8.1432x,WIN
6,?,2026-04-13T19:14,8.0263x,WIN
85,?,2026-08-27T07:50,7.0737x,WIN
10,?,2026-04-27T23:06,5.9554x,WIN
9,HIMS,2026-04-18T03:44,5.6526x,WIN
53,FOMO,2026-07-06T22:36,5.0613x,WIN
72,?,2026-08-05T01:14,4.0383x,WIN
22,BLUECHIP,2026-05-13T04:57,3.6142x,WIN
86,?,2026-08-29T02:55,3.0275x,WIN
76,ABTC,2026-08-09T23:40,3.0157x,WIN
29,?,2026-05-22T19:05,2.7866x,WIN
79,TOAD,2026-08-11T21:50,2.6942x,WIN
54,?,2026-07-07T06:28,2.6291x,WIN
25,?,2026-05-16T04:03,2.4696x,WIN
67,?,2026-08-01T06:10,2.2950x,WIN
73,PUMPGUY,2026-08-09T03:06,2.1834x,WIN
14,?,2026-05-06T18:38,2.1632x,WIN
20,?,2026-05-12T22:47,2.1535x,WIN
45,TREMP,2026-06-15T01:41,2.1108x,WIN
24,?,2026-05-15T06:53,2.0243x,WIN
84,?,2026-08-20T04:39,2.0133x,WIN
66,UPDOG,2026-07-31T23:45,2.0065x,WIN
74,?,2026-08-09T07:31,1.9296x,LOSS
30,?,2026-05-22T23:03,1.7942x,LOSS
64,PANAMA,2026-07-30T03:37,1.7811x,LOSS
69,WIGLET,2026-08-04T05:53,1.7682x,LOSS
82,?,2026-08-15T16:20,1.7088x,LOSS
34,HENNY,2026-05-30T20:35,1.6955x,LOSS
48,ANSEM,2026-06-21T04:13,1.6612x,LOSS
68,?,2026-08-01T19:15,1.6547x,LOSS
1,HYRAX,2026-04-01T20:45,1.6463x,LOSS
28,FBAI,2026-05-21T00:05,1.6191x,LOSS
62,?,2026-07-27T16:43,1.6095x,LOSS
81,?,2026-08-13T05:37,1.5822x,LOSS
36,AERODYNAMI,2026-06-01T23:55,1.5572x,LOSS
87,?,2026-08-29T04:11,1.5228x,LOSS
55,?,2026-07-09T05:03,1.4839x,LOSS
2,?,2026-04-02T03:47,1.4786x,LOSS
49,?,2026-06-23T05:20,1.4688x,LOSS
71,HORSE,2026-08-04T23:47,1.4652x,LOSS
44,?,2026-06-12T04:17,1.4240x,LOSS
51,?,2026-07-01T02:24,1.4036x,LOSS
58,BCAT,2026-07-13T05:34,1.3982x,LOSS
5,CARROTJAK,2026-04-12T22:06,1.3965x,LOSS
37,?,2026-06-02T18:42,1.3479x,LOSS
42,KUMAR,2026-06-09T21:14,1.3449x,LOSS
50,?,2026-06-23T19:47,1.3443x,LOSS
41,?,2026-06-07T19:34,1.3406x,LOSS
33,?,2026-05-29T22:46,1.3403x,LOSS
18,?,2026-05-10T21:26,1.3398x,LOSS
26,?,2026-05-19T19:18,1.3122x,LOSS
57,MENSA,2026-07-12T22:42,1.3025x,LOSS
75,AVATAR,2026-08-09T23:03,1.2999x,LOSS
65,PIBBLE,2026-07-31T20:12,1.2657x,LOSS
16,?,2026-05-08T01:51,1.2646x,LOSS
40,SPACES,2026-06-05T07:17,1.2638x,LOSS
4,?,2026-04-11T01:10,1.2565x,LOSS
56,SPAZ,2026-07-10T02:32,1.2510x,LOSS
31,?,2026-05-27T00:05,1.2455x,LOSS
23,USDC,2026-05-13T22:05,1.2406x,LOSS
11,FISHHEAD,2026-04-30T21:37,1.2399x,LOSS
47,?,2026-06-19T06:12,1.2389x,LOSS
15,SCHIZO,2026-05-06T21:19,1.2308x,LOSS
52,?,2026-07-03T21:58,1.2271x,LOSS
60,BET,2026-07-19T20:43,1.2204x,LOSS
32,FOID,2026-05-29T03:44,1.2055x,LOSS
12,?,2026-05-01T20:12,1.1749x,LOSS
46,?,2026-06-17T01:38,1.1704x,LOSS
3,TIGER,2026-04-02T21:51,1.1632x,LOSS
70,?,2026-08-04T19:42,1.1625x,LOSS
35,?,2026-05-31T20:47,1.1537x,LOSS
27,HOG,2026-05-20T01:50,1.1512x,LOSS
63,GNOMES,2026-07-28T20:07,1.1487x,LOSS
38,?,2026-06-03T18:27,1.1370x,LOSS
19,?,2026-05-11T18:59,1.1329x,LOSS
83,?,2026-08-16T03:49,1.1084x,LOSS
7,?,2026-04-16T02:25,1.1079x,LOSS
39,DATBIHGAH,2026-06-04T19:20,1.1048x,LOSS
59,UDIN,2026-07-17T19:48,1.1018x,LOSS
13,?,2026-05-02T05:42,1.1004x,LOSS
17,WISH,2026-05-08T03:14,1.0463x,LOSS
78,?,2026-08-10T23:16,1.0301x,LOSS
61,?,2026-07-26T23:27,1.0080x,LOSS
