ID,Symbol,Call Time,Peak Multiple,Status
50,?,2026-08-13T15:04,4.9332x,WIN
21,?,2026-05-26T12:38,4.7774x,WIN
28,?,2026-06-02T11:13,4.3676x,WIN
41,?,2026-06-22T13:07,2.4627x,WIN
27,?,2026-06-01T14:43,2.1685x,WIN
2,?,2026-04-07T17:10,2.0222x,WIN
34,?,2026-06-12T12:54,1.9440x,LOSS
52,?,2026-08-18T12:06,1.8841x,LOSS
9,?,2026-04-22T22:05,1.8763x,LOSS
17,?,2026-05-07T11:16,1.8300x,LOSS
24,?,2026-05-27T17:33,1.7609x,LOSS
16,?,2026-05-06T16:22,1.7601x,LOSS
23,?,2026-05-26T20:09,1.7359x,LOSS
26,?,2026-05-31T13:36,1.7296x,LOSS
1,?,2026-04-02T13:02,1.7088x,LOSS
4,?,2026-04-10T13:09,1.6737x,LOSS
19,?,2026-05-19T21:12,1.6490x,LOSS
18,?,2026-05-12T16:11,1.6310x,LOSS
12,?,2026-04-28T13:12,1.5957x,LOSS
7,?,2026-04-19T21:27,1.5918x,LOSS
29,?,2026-06-03T12:42,1.5819x,LOSS
25,?,2026-05-29T12:33,1.5748x,LOSS
48,?,2026-08-06T16:36,1.5603x,LOSS
11,?,2026-04-28T11:14,1.4768x,LOSS
35,?,2026-06-12T19:45,1.4471x,LOSS
6,?,2026-04-15T18:38,1.4412x,LOSS
36,?,2026-06-14T13:09,1.4286x,LOSS
8,?,2026-04-20T22:08,1.4082x,LOSS
31,?,2026-06-06T13:36,1.3892x,LOSS
40,?,2026-06-20T12:16,1.3799x,LOSS
30,?,2026-06-05T11:10,1.3585x,LOSS
49,?,2026-08-11T12:22,1.3411x,LOSS
22,?,2026-05-26T16:16,1.3285x,LOSS
33,?,2026-06-10T13:05,1.3081x,LOSS
3,?,2026-04-10T11:23,1.2882x,LOSS
20,?,2026-05-23T14:26,1.2722x,LOSS
45,?,2026-07-09T13:50,1.2702x,LOSS
42,?,2026-06-22T18:37,1.2542x,LOSS
43,?,2026-07-02T17:01,1.2526x,LOSS
47,?,2026-08-04T23:21,1.1945x,LOSS
5,?,2026-04-11T13:26,1.1340x,LOSS
44,?,2026-07-07T14:04,1.0823x,LOSS
13,?,2026-04-30T14:47,1.0723x,LOSS
46,?,2026-07-23T12:02,1.0717x,LOSS
15,?,2026-04-30T20:57,1.0521x,LOSS
32,?,2026-06-09T12:16,1.0275x,LOSS
51,?,2026-08-17T15:48,1.0105x,LOSS
10,?,2026-04-24T17:01,1.0001x,LOSS
