Call ID,Symbol,Call Time,Peak Multiple,Status
16,?,2026-04-29T21:29,16.5719x,win
76,?,2026-08-25T23:50,10.8625x,win
66,?,2026-08-23T09:44,5.3044x,win
38,?,2026-08-03T19:03,4.5962x,win
18,?,2026-05-01T01:17,3.7591x,win
40,?,2026-08-09T16:48,3.6781x,win
47,?,2026-08-12T10:40,3.2795x,win
80,CTO,2026-09-02T21:51,3.2748x,win
74,?,2026-08-25T20:15,3.1142x,win
59,?,2026-08-20T08:02,2.9838x,win
17,?,2026-05-01T00:36,2.7507x,win
70,?,2026-08-24T03:04,2.3469x,win
25,GAPLA,2026-05-21T13:25,2.3030x,win
39,?,2026-08-06T17:19,2.2960x,win
37,?,2026-07-29T16:23,2.0385x,win
30,?,2026-06-03T22:17,2.0143x,win
72,?,2026-08-24T15:07,1.9731x,loss
57,?,2026-08-19T01:50,1.9052x,loss
10,HARRY,2026-04-13T01:53,1.8784x,loss
7,GENZ,2026-04-09T20:04,1.8513x,loss
34,?,2026-06-12T20:06,1.8127x,loss
51,?,2026-08-13T09:10,1.8077x,loss
56,?,2026-08-17T16:24,1.7777x,loss
73,?,2026-08-25T18:57,1.6752x,loss
19,CHONKERS,2026-05-03T03:16,1.6381x,loss
53,BOB,2026-08-13T18:30,1.6342x,loss
67,?,2026-08-23T09:58,1.6314x,loss
4,?,2026-04-05T01:52,1.6210x,loss
28,BELIEF,2026-05-24T16:41,1.6100x,loss
36,?,2026-07-08T12:50,1.6086x,loss
6,MOMO,2026-04-08T04:20,1.6026x,loss
5,?,2026-04-06T20:29,1.6002x,loss
71,MORTY,2026-08-24T08:06,1.5314x,loss
45,?,2026-08-12T01:01,1.5204x,loss
64,?,2026-08-22T16:05,1.4971x,loss
35,?,2026-07-07T08:44,1.4371x,loss
1,?,2026-04-02T12:22,1.4038x,loss
29,?,2026-05-25T20:00,1.4035x,loss
33,PARQ,2026-06-10T02:19,1.3833x,loss
65,BITTY,2026-08-22T20:01,1.3735x,loss
41,?,2026-08-09T16:52,1.3594x,loss
77,OPTIMUS,2026-08-29T00:51,1.3533x,loss
2,PIGEON,2026-04-02T12:25,1.3356x,loss
46,MOS,2026-08-12T01:10,1.3238x,loss
11,MILKERS,2026-04-13T01:55,1.3121x,loss
62,TOAD,2026-08-20T17:51,1.2958x,loss
8,?,2026-04-09T23:01,1.2622x,loss
12,?,2026-04-15T00:20,1.2616x,loss
42,?,2026-08-10T00:18,1.2442x,loss
49,?,2026-08-12T19:39,1.2439x,loss
50,NEST,2026-08-12T19:40,1.2057x,loss
32,BOUNTYWORK,2026-06-07T23:15,1.2012x,loss
14,ASTEROID,2026-04-17T13:16,1.1794x,loss
61,?,2026-08-20T14:00,1.1749x,loss
54,FTR,2026-08-17T15:25,1.1634x,loss
75,GIGA,2026-08-25T22:34,1.1559x,loss
26,?,2026-05-23T21:06,1.1413x,loss
68,GRIFFAIN,2026-08-23T14:28,1.1313x,loss
43,CATE,2026-08-10T20:21,1.1255x,loss
78,?,2026-08-31T02:20,1.1162x,loss
22,?,2026-05-14T18:10,1.1135x,loss
31,WORLDCUP,2026-06-07T23:11,1.0991x,loss
15,BUTTCOIN,2026-04-27T11:04,1.0945x,loss
27,STAKE,2026-05-24T16:37,1.0807x,loss
21,?,2026-05-11T20:18,1.0651x,loss
9,MAXXING,2026-04-11T22:51,1.0593x,loss
13,PUNCH,2026-04-15T19:28,1.0438x,loss
3,EITHER,2026-04-02T17:30,1.0376x,loss
20,FARTCOIN,2026-05-11T19:29,1.0300x,loss
24,MOBY,2026-05-18T20:04,1.0278x,loss
69,MET,2026-08-23T23:01,1.0246x,loss
48,SPY,2026-08-12T19:38,1.0144x,loss
44,STONK,2026-08-11T18:57,1.0037x,loss
58,?,2026-08-19T02:09,1.0001x,loss
