Call ID,Symbol,Call Time,Peak Multiple,Normal Status,Stoploss Status,Stop Hit
1,?,2026-04-02T12:22,1.4038x,loss,loss,False
2,PIGEON,2026-04-02T12:25,1.3356x,loss,loss,False
3,EITHER,2026-04-02T17:30,1.0376x,loss,loss,False
4,?,2026-04-05T01:52,1.6210x,loss,loss,False
5,?,2026-04-06T20:29,1.6002x,loss,loss,True
6,MOMO,2026-04-08T04:20,1.6026x,loss,loss,False
7,GENZ,2026-04-09T20:04,1.8513x,loss,loss,False
8,?,2026-04-09T23:01,1.2622x,loss,loss,False
9,MAXXING,2026-04-11T22:51,1.0593x,loss,loss,False
10,HARRY,2026-04-13T01:53,1.8784x,loss,loss,False
11,MILKERS,2026-04-13T01:55,1.3121x,loss,loss,False
12,?,2026-04-15T00:20,1.2616x,loss,loss,True
13,PUNCH,2026-04-15T19:28,1.0438x,loss,loss,False
14,ASTEROID,2026-04-17T13:16,1.1794x,loss,loss,True
15,BUTTCOIN,2026-04-27T11:04,1.0945x,loss,loss,False
16,?,2026-04-29T21:29,16.5719x,win,win,False
17,?,2026-05-01T00:36,2.7507x,win,loss,True
18,?,2026-05-01T01:17,3.7591x,win,win,False
19,CHONKERS,2026-05-03T03:16,1.6381x,loss,loss,False
20,FARTCOIN,2026-05-11T19:29,1.0300x,loss,loss,False
21,?,2026-05-11T20:18,1.0651x,loss,loss,False
22,?,2026-05-14T18:10,1.1135x,loss,loss,False
23,?,2026-05-16T07:10,N/A,loss,loss,False
24,MOBY,2026-05-18T20:04,1.0278x,loss,loss,False
25,GAPLA,2026-05-21T13:25,2.3030x,win,win,False
26,?,2026-05-23T21:06,1.1413x,loss,loss,False
27,STAKE,2026-05-24T16:37,1.0807x,loss,loss,True
28,BELIEF,2026-05-24T16:41,1.6100x,loss,loss,True
29,?,2026-05-25T20:00,1.4035x,loss,loss,False
30,?,2026-06-03T22:17,2.0143x,win,loss,True
31,WORLDCUP,2026-06-07T23:11,1.0991x,loss,loss,False
32,BOUNTYWORK,2026-06-07T23:15,1.2012x,loss,loss,False
33,PARQ,2026-06-10T02:19,1.3833x,loss,loss,False
34,?,2026-06-12T20:06,1.8127x,loss,loss,False
35,?,2026-07-07T08:44,1.4371x,loss,loss,False
36,?,2026-07-08T12:50,1.6086x,loss,loss,False
37,?,2026-07-29T16:23,2.0385x,win,loss,True
38,?,2026-08-03T19:03,4.5962x,win,loss,True
39,?,2026-08-06T17:19,2.2960x,win,win,False
40,?,2026-08-09T16:48,3.6781x,win,win,False
41,?,2026-08-09T16:52,1.3594x,loss,loss,True
42,?,2026-08-10T00:18,1.2442x,loss,loss,False
43,CATE,2026-08-10T20:21,1.1255x,loss,loss,False
44,STONK,2026-08-11T18:57,1.0037x,loss,loss,False
45,?,2026-08-12T01:01,1.5204x,loss,loss,False
46,MOS,2026-08-12T01:10,1.3238x,loss,loss,True
47,?,2026-08-12T10:40,3.2795x,win,win,False
48,SPY,2026-08-12T19:38,1.0144x,loss,loss,False
49,?,2026-08-12T19:39,1.2439x,loss,loss,False
50,NEST,2026-08-12T19:40,1.2057x,loss,loss,False
51,?,2026-08-13T09:10,1.8077x,loss,loss,True
52,?,2026-08-13T09:10,N/A,loss,loss,False
53,BOB,2026-08-13T18:30,1.6342x,loss,loss,True
54,FTR,2026-08-17T15:25,1.1634x,loss,loss,True
55,?,2026-08-17T15:49,N/A,loss,loss,False
56,?,2026-08-17T16:24,1.7777x,loss,loss,False
57,?,2026-08-19T01:50,1.9052x,loss,loss,True
58,?,2026-08-19T02:09,1.0001x,loss,loss,True
59,?,2026-08-20T08:02,2.9838x,win,win,False
60,?,2026-08-20T12:27,N/A,loss,loss,False
61,?,2026-08-20T14:00,1.1749x,loss,loss,True
62,TOAD,2026-08-20T17:51,1.2958x,loss,loss,False
63,TRONCAT,2026-08-21T02:48,N/A,loss,loss,False
64,?,2026-08-22T16:05,1.4971x,loss,loss,False
65,BITTY,2026-08-22T20:01,1.3735x,loss,loss,False
66,?,2026-08-23T09:44,5.3044x,win,win,False
67,?,2026-08-23T09:58,1.6314x,loss,loss,False
68,GRIFFAIN,2026-08-23T14:28,1.1313x,loss,loss,False
69,MET,2026-08-23T23:01,1.0246x,loss,loss,False
70,?,2026-08-24T03:04,2.3469x,win,win,False
71,MORTY,2026-08-24T08:06,1.5314x,loss,loss,False
72,?,2026-08-24T15:07,1.9731x,loss,loss,True
73,?,2026-08-25T18:57,1.6752x,loss,loss,True
74,?,2026-08-25T20:15,3.1142x,win,win,False
75,GIGA,2026-08-25T22:34,1.1559x,loss,loss,False
76,?,2026-08-25T23:50,10.8625x,win,loss,True
77,OPTIMUS,2026-08-29T00:51,1.3533x,loss,loss,False
78,?,2026-08-31T02:20,1.1162x,loss,loss,False
79,?,2026-09-02T12:12,N/A,win,win,False
80,CTO,2026-09-02T21:51,3.2748x,win,win,False
