ID,Symbol,Call Time,Peak Multiple,Status
15,BUTTCOIN,2026-04-27T11:04,16.5719x,WIN
75,GIGA,2026-08-25T22:34,10.8625x,WIN
65,BITTY,2026-08-22T20:01,5.3044x,WIN
17,?,2026-05-01T00:36,3.7591x,WIN
39,?,2026-08-06T17:19,3.6781x,WIN
46,MOS,2026-08-12T01:10,3.2795x,WIN
58,?,2026-08-19T02:09,2.9838x,WIN
69,MET,2026-08-23T23:01,2.3469x,WIN
73,?,2026-08-25T18:57,2.3212x,WIN
24,MOBY,2026-05-18T20:04,2.3030x,WIN
38,?,2026-08-03T19:03,2.2960x,WIN
79,?,2026-09-02T12:12,2.1755x,WIN
71,MORTY,2026-08-24T08:06,1.9731x,LOSS
16,?,2026-04-29T21:29,1.9092x,LOSS
56,?,2026-08-17T16:24,1.9052x,LOSS
6,MOMO,2026-04-08T04:20,1.8513x,LOSS
37,?,2026-07-29T16:23,1.8485x,LOSS
50,NEST,2026-08-12T19:40,1.8077x,LOSS
55,?,2026-08-17T15:49,1.7777x,LOSS
72,?,2026-08-24T15:07,1.6752x,LOSS
52,?,2026-08-13T09:10,1.6342x,LOSS
27,STAKE,2026-05-24T16:37,1.6100x,LOSS
35,?,2026-07-07T08:44,1.6086x,LOSS
5,?,2026-04-06T20:29,1.6026x,LOSS
70,?,2026-08-24T03:04,1.5314x,LOSS
63,TRONCAT,2026-08-21T02:48,1.4971x,LOSS
44,STONK,2026-08-11T18:57,1.4402x,LOSS
3,EITHER,2026-04-02T17:30,1.4193x,LOSS
29,?,2026-05-25T20:00,1.3843x,LOSS
32,BOUNTYWORK,2026-06-07T23:15,1.3833x,LOSS
36,?,2026-07-08T12:50,1.3807x,LOSS
40,?,2026-08-09T16:48,1.3594x,LOSS
76,?,2026-08-25T23:50,1.3533x,LOSS
1,?,2026-04-02T12:22,1.3356x,LOSS
45,?,2026-08-12T01:01,1.3238x,LOSS
18,?,2026-05-01T01:17,1.3198x,LOSS
10,HARRY,2026-04-13T01:53,1.3121x,LOSS
28,BELIEF,2026-05-24T16:41,1.3085x,LOSS
61,?,2026-08-20T14:00,1.2958x,LOSS
4,?,2026-04-05T01:52,1.2722x,LOSS
9,MAXXING,2026-04-11T22:51,1.2642x,LOSS
7,GENZ,2026-04-09T20:04,1.2622x,LOSS
11,MILKERS,2026-04-13T01:55,1.2567x,LOSS
41,?,2026-08-09T16:52,1.2442x,LOSS
34,?,2026-06-12T20:06,1.2436x,LOSS
48,SPY,2026-08-12T19:38,1.2269x,LOSS
33,PARQ,2026-06-10T02:19,1.1950x,LOSS
49,?,2026-08-12T19:39,1.1892x,LOSS
13,PUNCH,2026-04-15T19:28,1.1794x,LOSS
60,?,2026-08-20T12:27,1.1749x,LOSS
53,BOB,2026-08-13T18:30,1.1634x,LOSS
31,WORLDCUP,2026-06-07T23:11,1.1392x,LOSS
66,?,2026-08-23T09:44,1.1294x,LOSS
21,?,2026-05-11T20:18,1.1135x,LOSS
42,?,2026-08-10T00:18,1.0994x,LOSS
30,?,2026-06-03T22:17,1.0991x,LOSS
26,?,2026-05-23T21:06,1.0807x,LOSS
77,OPTIMUS,2026-08-29T00:51,1.0557x,LOSS
64,?,2026-08-22T16:05,1.0541x,LOSS
14,ASTEROID,2026-04-17T13:16,1.0509x,LOSS
8,?,2026-04-09T23:01,1.0491x,LOSS
20,FARTCOIN,2026-05-11T19:29,1.0451x,LOSS
2,PIGEON,2026-04-02T12:25,1.0376x,LOSS
74,?,2026-08-25T20:15,1.0350x,LOSS
12,?,2026-04-15T00:20,1.0339x,LOSS
23,?,2026-05-16T07:10,1.0278x,LOSS
68,GRIFFAIN,2026-08-23T14:28,1.0244x,LOSS
67,?,2026-08-23T09:58,1.0223x,LOSS
19,CHONKERS,2026-05-03T03:16,1.0049x,LOSS
43,CATE,2026-08-10T20:21,1.0037x,LOSS
47,?,2026-08-12T10:40,1.0032x,LOSS
25,GAPLA,2026-05-21T13:25,1.0027x,LOSS
57,?,2026-08-19T01:50,1.0001x,LOSS
